Timestamp,Date of Birth,Gender,Age,Highest completed education level,Financial Class,Do you believe in astrology?  ,I am confident and assertive.  ,I value stability and routine in my life.  ,I am very adaptable and quick-witted.  ,I am very empathetic and compassionate towards others.  ,I love being the center of attention. ,I am very detail-oriented and analytical.  ,I value harmony and balance in my relationships.  ,I am very passionate and intense.  ,I am adventurous and love exploring new places.  ,I am very disciplined and responsible.  ,I enjoy taking risks and trying new things.  ,I am very patient and reliable.  ,I enjoy engaging in conversations and learning new things.  ,I value my home and family above all else.  ,I have a strong desire for recognition and praise.  ,I strive for perfection in everything I do.  ,I often find it difficult to make decisions.  ,I have a strong desire for control and power.  ,I can be blunt and speak my mind without thinking.  ,I have a strong desire to achieve my goals.  ,I am quick to get angry but also quick to forgive.  ,I have a strong appreciation for beauty and luxury.  ,I can be indecisive and change my mind frequently.,I can be quite moody and sensitive.  ,I enjoy organizing events and leading projects.  ,I can be overly critical of myself and others.  ,I appreciate art and beauty in my surroundings.   ,I am secretive and prefer to keep my thoughts private.  ,I enjoy learning about different cultures and philosophies.  ,I can be quite reserved and cautious.  
07/06/2024 14:13:25,01/09/2000,Male,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Unsure,5,5,5,6,5,6,5,6,6,6,6,6,5,6,5,6,3,4,5,6,7,5,5,7,5,6,6,7,3,3
07/06/2024 14:17:23,27/06/2001,Male,18-24,Undergraduate Studies,Upper-Middle households (earn from ₹15 lakhs to ₹30 lakhs annually),Yes,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,7,4,7,1,1,4,7,1,7,5,3
07/06/2024 14:21:38,14/12/2000,Female,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Unsure,6,6,6,6,1,5,6,2,4,5,3,6,5,7,4,4,3,2,2,7,6,3,7,5,6,5,6,7,6,6
07/06/2024 14:25:32,03/03/2001,Female,18-24,Undergraduate Studies,Aspiring households (earn from ₹1.25 lakhs to ₹5 lakhs annually),Yes,5,6,5,5,2,3,7,5,5,5,3,5,6,7,3,5,3,2,4,6,6,2,5,5,5,5,7,5,5,5
07/06/2024 14:33:36,13/05/1999,Male,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,7,7,7,7,2,7,7,7,7,4,3,7,5,7,7,6,1,4,1,7,7,2,5,7,4,1,7,7,7,7
07/06/2024 14:36:05,12/03/2005,Male,18-24,High School,Upper-Middle households (earn from ₹15 lakhs to ₹30 lakhs annually),Yes,4,5,3,5,4,5,6,3,3,4,5,3,4,7,5,5,4,5,3,5,5,3,4,4,5,6,7,5,2,4
07/06/2024 14:36:53,26/02/2004,Male,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Yes,7,4,6,3,1,4,4,4,1,5,4,1,3,7,4,7,1,7,7,7,7,1,4,7,4,2,4,7,7,7
07/06/2024 14:38:04,17/10/2000,Female,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Unsure,3,4,5,6,3,2,5,7,5,3,4,5,5,5,5,5,7,2,3,5,6,7,7,5,5,5,7,5,7,4
07/06/2024 14:42:02,24/04/2001,Female,18-24,Postgraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),No,7,4,7,5,7,6,7,7,7,5,5,5,6,7,6,4,4,2,5,5,7,7,6,7,6,4,7,5,7,5
07/06/2024 14:44:38,12/05/2000,Male,18-24,Undergraduate Studies,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Yes,5,6,5,7,5,6,5,3,5,3,5,4,6,6,4,3,6,6,5,6,7,4,7,4,3,4,6,3,7,6
07/06/2024 14:44:56,01/10/2004,Female,18-24,Pre-University,Middle-class households (earn from ₹5 lakhs to ₹15 lakhs annually),Unsure,4,4,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,1,1,1,1,5,6,6,5,3,5
